Wikidata ID,PlanetMath,PlanetMath link
Q193623,binomial equation,http://planetmath.org/binomialequation
Q26708,binomial formula,http://planetmath.org/binomialformula
Q26708,binomial theorem,http://planetmath.org/binomialtheorem
Q174733,bipartite graph,http://planetmath.org/bipartitegraph
Q1065144,bipartite matching,http://planetmath.org/bipartitematching
Q11420049,biquadratic equation,http://planetmath.org/biquadraticequation
Q4915520,biquadratic field,http://planetmath.org/biquadraticfield
Q527863,Birch and Swinnerton-Dyer conjecture,http://planetmath.org/birchandswinnertondyerconjecture
Q1046291,Birkhoff-Kakutani theorem,http://planetmath.org/birkhoffkakutanitheorem
Q1243340,Birkhoff-von Neumann theorem,http://planetmath.org/birkhoffvonneumanntheorem
Q339000,birthday problem,http://planetmath.org/birthdayproblem
Q866364,bisimulation,http://planetmath.org/bisimulation
Q879126,bitwise AND,http://planetmath.org/bitwiseand
Q879126,bitwise NOT,http://planetmath.org/bitwisenot
Q879126,bitwise OR,http://planetmath.org/bitwiseor
Q879126,bitwise XOR,http://planetmath.org/bitwisexor
Q663908,bivector,http://planetmath.org/bivector
Q1142171,blackboard bold,http://planetmath.org/blackboardbold
Q1142171,blackboard bold,http://planetmath.org/blackboardbold
Q228044,blackjack,http://planetmath.org/blackjack
Q1338307,Black-Scholes formula,http://planetmath.org/blackscholesformula
Q1338307,Black-Scholes PDE,http://planetmath.org/blackscholespde
Q330946,blade,http://planetmath.org/blade
Q1290,Blaise Pascal,http://planetmath.org/blaisepascal
Q4380191,Blaschke product,http://planetmath.org/blaschkeproduct
Q6536648,block,http://planetmath.org/block
Q1317188,BN-pair,http://planetmath.org/bnpair
Q2734084,Bohr-Mollerup theorem,http://planetmath.org/bohrmolleruptheorem
Q834211,Bolyai-Gerwien theorem,http://planetmath.org/bolyaigerwientheorem
Q468391,Bolzano-Weierstrass theorem,http://planetmath.org/bolzanoweierstrasstheorem
Q2612539,Bombieri-Vinogradov theorem,http://planetmath.org/bombierivinogradovtheorem
Q273037,Bondy and Chvátal theorem,http://planetmath.org/bondyandchvataltheorem
Q517378,Bonferroni inequalities,http://planetmath.org/bonferroniinequalities
Q43099,Book of Numbers,http://planetmath.org/bookofnumbers
Q27786609,Boolean,http://planetmath.org/boolean
Q3269980,Boolean domain,http://planetmath.org/booleandomain
Q4973304,Boolean lattice,http://planetmath.org/booleanlattice
Q872088,Boolean prime ideal theorem,http://planetmath.org/booleanprimeidealtheorem
Q2634401,Boolean ring,http://planetmath.org/booleanring
Q17020770,Boolean-valued function,http://planetmath.org/booleanvaluedfunction
Q4943349,Boolean valued model,http://planetmath.org/booleanvaluedmodel
Q517378,Boole inequality,http://planetmath.org/booleinequality
Q4944923,Borel-Bott-Weil theorem,http://planetmath.org/borelbottweiltheorem
Q893496,Borel-Cantelli lemma,http://planetmath.org/borelcantellilemma
Q829645,Borel functional calculus,http://planetmath.org/borelfunctionalcalculus
Q4944909,Borel isomorphism,http://planetmath.org/borelisomorphism
Q892585,Borel measure,http://planetmath.org/borelmeasure
Q21086747,Borel σ-algebra,http://planetmath.org/borelsigmaalgebra
Q47015986,Borel space,http://planetmath.org/borelspace
Q85748295,Borel subalgebra,http://planetmath.org/borelsubalgebra
Q4944913,Borel subgroup,http://planetmath.org/borelsubgroup
Q894008,bornological space,http://planetmath.org/bornologicalspace
Q848092,Borsuk-Ulam theorem,http://planetmath.org/borsukulamtheorem
Q310647,bounded,http://planetmath.org/bounded
Q310647,bounded,http://planetmath.org/bounded1
Q4949980,bounded complete,http://planetmath.org/boundedcomplete
Q2267362,bounded function,http://planetmath.org/boundedfunction
Q944297,bounded inverse theorem,http://planetmath.org/boundedinversetheorem
Q595364,bounded lattice,http://planetmath.org/boundedlattice
Q752375,boundedness theorem,http://planetmath.org/boundednesstheorem
Q2342396,bounded operator,http://planetmath.org/boundedoperator
Q726212,bounded set,http://planetmath.org/boundedset
Q190529,"Bourbaki, Nicolas",http://planetmath.org/bourbakinicolas
Q4951625,box topology,http://planetmath.org/boxtopology
Q220409,braid group,http://planetmath.org/braidgroup
Q5876926,branch,http://planetmath.org/branch
Q1196038,Brandt groupoid,http://planetmath.org/brandtgroupoid
Q900456,Brauer group,http://planetmath.org/brauergroup
Q4960382,Bregman divergence,http://planetmath.org/bregmandivergence
Q119450,Brianchon theorem,http://planetmath.org/brianchontheorem
Q2532492,bridge,http://planetmath.org/bridge
Q33100,bridges of Königsberg,http://planetmath.org/bridgesofkonigsberg
Q966582,Briggsian logarithms,http://planetmath.org/briggsianlogarithms
Q306564,Brouwer degree,http://planetmath.org/brouwerdegree
Q1144897,Brouwer fixed point theorem,http://planetmath.org/brouwerfixedpointtheorem
Q18345290,Brouwerian lattice,http://planetmath.org/brouwerianlattice
Q178036,Brownian motion,http://planetmath.org/brownianmotion
Q4978699,Bruhat decomposition,http://planetmath.org/bruhatdecomposition
Q3915398,Brunn-Minkowski inequality,http://planetmath.org/brunnminkowskiinequality
Q677051,B-tree,http://planetmath.org/btree
Q60864,bubblesort,http://planetmath.org/bubblesort
Q4997547,bundle map,http://planetmath.org/bundlemap
Q1010269,Burali-Forti paradox,http://planetmath.org/buralifortiparadox
Q1996305,Burnside p-q theorem,http://planetmath.org/burnsidepqtheorem
Q5000158,Burnside ring,http://planetmath.org/burnsidering
Q5000649,bursting,http://planetmath.org/bursting
Q377047,butterfly theorem,http://planetmath.org/butterflytheorem
Q829653,BV function,http://planetmath.org/bvfunction
Q2407,C++,http://planetmath.org/c
Q9820,C,http://planetmath.org/c1
Q2708644,cabtaxi number,http://planetmath.org/cabtaxinumber
Q2708644,cabtaxi number,http://planetmath.org/cabtaxinumber
Q31087,calculator,http://planetmath.org/calculator
Q31087,calculator,http://planetmath.org/calculator
Q216861,calculus of variations,http://planetmath.org/calculusofvariations
Q5026435,Cameron-Martin space,http://planetmath.org/cameronmartinspace
Q628792,cancellation ring,http://planetmath.org/cancellationring
Q5031372,cancellative semigroup,http://planetmath.org/cancellativesemigroup
Q19596244,canonical,http://planetmath.org/canonical
Q19596244,canonical,http://planetmath.org/canonical
Q1220611,canonical basis,http://planetmath.org/canonicalbasis
Q115542,canonical correlation,http://planetmath.org/canonicalcorrelation
Q2251151,canonical model,http://planetmath.org/canonicalmodel
Q1211071,canonical projection,http://planetmath.org/canonicalprojection
Q5961083,canonical quantization,http://planetmath.org/canonicalquantization
Q322340,Cantor-Bendixson derivative,http://planetmath.org/cantorbendixsonderivative
Q7168098,Cantor-Bendixson theorem,http://planetmath.org/cantorbendixsontheorem
Q938883,Cantor function,http://planetmath.org/cantorfunction
Q1142215,Cantor normal form,http://planetmath.org/cantornormalform
Q273188,Cantor set,http://planetmath.org/cantorset
Q616653,Cantor space,http://planetmath.org/cantorspace
Q5034459,cap product,http://planetmath.org/capproduct
Q163875,cardinal arithmetic,http://planetmath.org/cardinalarithmetic
Q4049983,cardinality,http://planetmath.org/cardinality
Q22952648,cardinality of the continuum,http://planetmath.org/cardinalityofthecontinuum
Q163875,cardinal number,http://planetmath.org/cardinalnumber
Q76564,Carl Gustav Jacob Jacobi,http://planetmath.org/carlgustavjacobjacobi
Q761544,Carl Pomerance,http://planetmath.org/carlpomerance
Q858532,Carl Størmer,http://planetmath.org/carlstormer
Q1043778,Carmichael function,http://planetmath.org/carmichaelfunction
Q545558,Carol Karp,http://planetmath.org/carolkarp
Q2004951,Cartan matrix,http://planetmath.org/cartanmatrix
Q2912114,Cartan subalgebra,http://planetmath.org/cartansubalgebra
Q5047043,Cartan theorem A,http://planetmath.org/cartantheorema
Q62912,Cartesian coordinates,http://planetmath.org/cartesiancoordinates
Q173740,Cartesian product,http://planetmath.org/cartesianproduct
Q909669,Cartier divisor,http://planetmath.org/cartierdivisor
Q1047475,Casimir operator,http://planetmath.org/casimiroperator
Q2226962,Casorati-Weierstrass theorem,http://planetmath.org/casoratiweierstrasstheorem
Q5050952,casus irreducibilis,http://planetmath.org/casusirreducibilis
Q3492725,catacaustic,http://planetmath.org/catacaustic
Q270513,Catalan numbers,http://planetmath.org/catalannumbers
Q174955,Catalan’s conjecture,http://planetmath.org/catalansconjecture
Q17029637,categorical algebra,http://planetmath.org/categoricalalgebra
Q1196038,category of groupoids,http://planetmath.org/categoryofgroupoids
Q48999031,category of representations,http://planetmath.org/categoryofrepresentations
Q5051871,catenary,http://planetmath.org/catenary
Q450331,Cathleen Morawetz,http://planetmath.org/cathleenmorawetz
Q45286,Cauchy-Binet formula,http://planetmath.org/cauchybinetformula
Q859107,Cauchy-Davenport theorem,http://planetmath.org/cauchydavenporttheorem
Q3278575,Cauchy initial value problem,http://planetmath.org/cauchyinitialvalueproblem
Q913764,Cauchy integral formula,http://planetmath.org/cauchyintegralformula
Q834025,Cauchy integral theorem,http://planetmath.org/cauchyintegraltheorem
Q1614464,Cauchy-Kowalewski theorem,http://planetmath.org/cauchykowalewskitheorem
Q2915997,Cauchy matrix,http://planetmath.org/cauchymatrix
Q769374,Cauchy principal part integral,http://planetmath.org/cauchyprincipalpartintegral
Q1051404,Cauchy product,http://planetmath.org/cauchyproduct
Q726441,Cauchy random variable,http://planetmath.org/cauchyrandomvariable
