Wikidata ID,Context,Context link
Q529752,zero object,https://emilyriehl.github.io/files/context.pdf#page=61
Q6034125,initial algebra,https://emilyriehl.github.io/files/context.pdf#page=62
Q1386213,algebra for an endofunctor,https://emilyriehl.github.io/files/context.pdf#page=62
Q2007878,functor category,https://emilyriehl.github.io/files/context.pdf#page=62
Q1442189,vertical composition,https://emilyriehl.github.io/files/context.pdf#page=63
Q1442189,horizontal composition,https://emilyriehl.github.io/files/context.pdf#page=63
Q1442189,whiskering,https://emilyriehl.github.io/files/context.pdf#page=64
Q4596935,2 category,https://emilyriehl.github.io/files/context.pdf#page=64
Q4596935,2-category,https://emilyriehl.github.io/files/context.pdf#page=64
Q25304059,2-functor,https://emilyriehl.github.io/files/context.pdf#page=65
Q45715,complete graph,https://emilyriehl.github.io/files/context.pdf#page=67
Q184410,four color theorem,https://emilyriehl.github.io/files/context.pdf#page=67
Q21199,natural numbers,https://emilyriehl.github.io/files/context.pdf#page=68
Q638328,discrete dynamical system,https://emilyriehl.github.io/files/context.pdf#page=68
Q740970,recursion,https://emilyriehl.github.io/files/context.pdf#page=68
Q386320,representable functor,https://emilyriehl.github.io/files/context.pdf#page=69
Q2905654,representation,https://emilyriehl.github.io/files/context.pdf#page=69
Q1417809,universal property,https://emilyriehl.github.io/files/context.pdf#page=69
Q1454111,free abelian group,https://emilyriehl.github.io/files/context.pdf#page=70
Q1366002,path,https://emilyriehl.github.io/files/context.pdf#page=71
Q232632,loop,https://emilyriehl.github.io/files/context.pdf#page=71
Q231766,free,https://emilyriehl.github.io/files/context.pdf#page=71
Q2119470,Sierpinski space,https://emilyriehl.github.io/files/context.pdf#page=72
Q1144925,currying,https://emilyriehl.github.io/files/context.pdf#page=72
Q288465,free action,https://emilyriehl.github.io/files/context.pdf#page=74
Q288465,free group action,https://emilyriehl.github.io/files/context.pdf#page=74
Q320577,Yoneda lemma,https://emilyriehl.github.io/files/context.pdf#page=75
Q320577,Yoneda embedding,https://emilyriehl.github.io/files/context.pdf#page=77
Q179208,Cayley's theorem,https://emilyriehl.github.io/files/context.pdf#page=79
Q21121474,the,https://emilyriehl.github.io/files/context.pdf#page=80
Q386320,universal element,https://emilyriehl.github.io/files/context.pdf#page=80
Q288465,transitive group action,https://emilyriehl.github.io/files/context.pdf#page=81
Q288465,transitive action,https://emilyriehl.github.io/files/context.pdf#page=81
Q17104225,torsor,https://emilyriehl.github.io/files/context.pdf#page=81
Q382698,affine space,https://emilyriehl.github.io/files/context.pdf#page=81
Q4907764,bilinear,https://emilyriehl.github.io/files/context.pdf#page=81
Q1163016,tensor product,https://emilyriehl.github.io/files/context.pdf#page=81
Q2602722,group ring,https://emilyriehl.github.io/files/context.pdf#page=83
Q13416298,evaluation map,https://emilyriehl.github.io/files/context.pdf#page=83
Q5051844,category of elements,https://emilyriehl.github.io/files/context.pdf#page=84
Q7631737,subobject classifier,https://emilyriehl.github.io/files/context.pdf#page=88
Q919107,product,https://emilyriehl.github.io/files/context.pdf#page=91
Q2547089,subobject,https://emilyriehl.github.io/files/context.pdf#page=91
Q48975267,quotient,https://emilyriehl.github.io/files/context.pdf#page=91
Q189061,cell complex,https://emilyriehl.github.io/files/context.pdf#page=91
Q1139111,gluing,https://emilyriehl.github.io/files/context.pdf#page=91
Q1322614,limit,https://emilyriehl.github.io/files/context.pdf#page=91
Q1322614,colimit,https://emilyriehl.github.io/files/context.pdf#page=91
Q864475,constant functor,https://emilyriehl.github.io/files/context.pdf#page=92
Q1850712,cone,https://emilyriehl.github.io/files/context.pdf#page=92
Q1850712,cocone,https://emilyriehl.github.io/files/context.pdf#page=92
Q5450158,finest,https://emilyriehl.github.io/files/context.pdf#page=95
Q5051852,terminal category,https://emilyriehl.github.io/files/context.pdf#page=96
Q1224487,equalizer,https://emilyriehl.github.io/files/context.pdf#page=96
Q1397439,pullback,https://emilyriehl.github.io/files/context.pdf#page=96
Q1397439,fiber product,https://emilyriehl.github.io/files/context.pdf#page=97
Q1640811,fiber,https://emilyriehl.github.io/files/context.pdf#page=97
Q2634828,inverse limit,https://emilyriehl.github.io/files/context.pdf#page=98
Q692689,coproduct,https://emilyriehl.github.io/files/context.pdf#page=99
Q5140810,coequalizer,https://emilyriehl.github.io/files/context.pdf#page=99
Q81881,fork,https://emilyriehl.github.io/files/context.pdf#page=99
Q1633079,pushout,https://emilyriehl.github.io/files/context.pdf#page=99
Q906015,direct limit,https://emilyriehl.github.io/files/context.pdf#page=99
Q12510,torus,https://emilyriehl.github.io/files/context.pdf#page=99
Q2156511,cokernel,https://emilyriehl.github.io/files/context.pdf#page=100
Q185359,union,https://emilyriehl.github.io/files/context.pdf#page=100
Q13582243,direct sum,https://emilyriehl.github.io/files/context.pdf#page=101
Q2219080,guess and check,https://emilyriehl.github.io/files/context.pdf#page=101
Q4370335,complete category,https://emilyriehl.github.io/files/context.pdf#page=103
Q4370335,cocomplete category,https://emilyriehl.github.io/files/context.pdf#page=103
Q217608,fixed point,https://emilyriehl.github.io/files/context.pdf#page=105
Q2243424,idempotent,https://emilyriehl.github.io/files/context.pdf#page=106
Q3055409,split idempotent,https://emilyriehl.github.io/files/context.pdf#page=106
Q6047782,internal category,https://emilyriehl.github.io/files/context.pdf#page=107
Q7241053,preserve,https://emilyriehl.github.io/files/context.pdf#page=108
Q120429,reflect,https://emilyriehl.github.io/files/context.pdf#page=108
Q5183420,create,https://emilyriehl.github.io/files/context.pdf#page=108
Q331481,open cover,https://emilyriehl.github.io/files/context.pdf#page=109
Q33456,power,https://emilyriehl.github.io/files/context.pdf#page=112
Q188524,tensor,https://emilyriehl.github.io/files/context.pdf#page=114
Q1322614,cocontinuous functor,https://emilyriehl.github.io/files/context.pdf#page=117
Q1322614,continuous functor,https://emilyriehl.github.io/files/context.pdf#page=117
Q41636387,configuration space,https://emilyriehl.github.io/files/context.pdf#page=119
Q2362924,complete lattice,https://emilyriehl.github.io/files/context.pdf#page=121
Q2844249,kernel pair,https://emilyriehl.github.io/files/context.pdf#page=121
Q107223533,relation,https://emilyriehl.github.io/files/context.pdf#page=121
Q130998,equivalence relation,https://emilyriehl.github.io/files/context.pdf#page=121
Q5446381,fiber space,https://emilyriehl.github.io/files/context.pdf#page=123
Q7432,species,https://emilyriehl.github.io/files/context.pdf#page=126
Q1076611,lim inf,https://emilyriehl.github.io/files/context.pdf#page=131
Q1076611,lim sup,https://emilyriehl.github.io/files/context.pdf#page=131
Q847204,limit of a sequence,https://emilyriehl.github.io/files/context.pdf#page=131
Q5449247,filtered category,https://emilyriehl.github.io/files/context.pdf#page=132
Q5449247,filtered colimit,https://emilyriehl.github.io/files/context.pdf#page=132
Q1292333,free vector space,https://emilyriehl.github.io/files/context.pdf#page=135
Q30701870,formal sum,https://emilyriehl.github.io/files/context.pdf#page=135
Q357858,adjunction,https://emilyriehl.github.io/files/context.pdf#page=136
Q357858,adjoint functor,https://emilyriehl.github.io/files/context.pdf#page=136
Q357823,adjunct,https://emilyriehl.github.io/files/context.pdf#page=136
Q223683,transpose,https://emilyriehl.github.io/files/context.pdf#page=136
Q860623,inverse image,https://emilyriehl.github.io/files/context.pdf#page=138
Q5280340,direct image,https://emilyriehl.github.io/files/context.pdf#page=138
Q3606768,propositional function,https://emilyriehl.github.io/files/context.pdf#page=138
Q773483,existential quantification,https://emilyriehl.github.io/files/context.pdf#page=138
Q126695,universal quantification,https://emilyriehl.github.io/files/context.pdf#page=138
Q5500266,free monoid,https://emilyriehl.github.io/files/context.pdf#page=139
Q1292333,free module,https://emilyriehl.github.io/files/context.pdf#page=139
Q1128678,group completion,https://emilyriehl.github.io/files/context.pdf#page=139
Q16858946,restriction of scalars,https://emilyriehl.github.io/files/context.pdf#page=140
Q16858946,extension of scalars,https://emilyriehl.github.io/files/context.pdf#page=140
Q1630568,monadic adjunction,https://emilyriehl.github.io/files/context.pdf#page=140
Q48998319,Frobenius reciprocity,https://emilyriehl.github.io/files/context.pdf#page=140
Q5500202,free category,https://emilyriehl.github.io/files/context.pdf#page=140
Q147978,Zariski topology,https://emilyriehl.github.io/files/context.pdf#page=147
Q1068976,Hilbert's Nullstellensatz,https://emilyriehl.github.io/files/context.pdf#page=147
Q748349,structure,https://emilyriehl.github.io/files/context.pdf#page=147
Q1725874,cartesian closed category,https://emilyriehl.github.io/files/context.pdf#page=149
Q934367,function space,https://emilyriehl.github.io/files/context.pdf#page=150
Q11475,free space,https://emilyriehl.github.io/files/context.pdf#page=151
Q2295009,smash product,https://emilyriehl.github.io/files/context.pdf#page=151
Q2066070,loop space,https://emilyriehl.github.io/files/context.pdf#page=151
Q1307987,reduced suspension,https://emilyriehl.github.io/files/context.pdf#page=151
Q163875,cardinal arithmetic,https://emilyriehl.github.io/files/context.pdf#page=158
Q318737,abelian category,https://emilyriehl.github.io/files/context.pdf#page=159
Q381725,left exact functor,https://emilyriehl.github.io/files/context.pdf#page=159
Q381725,right exact functor,https://emilyriehl.github.io/files/context.pdf#page=159
Q2920416,kernel,https://emilyriehl.github.io/files/context.pdf#page=159
Q6101219,reflective subcategory,https://emilyriehl.github.io/files/context.pdf#page=160
Q251307,localization,https://emilyriehl.github.io/files/context.pdf#page=160
Q2099981,additive functor,https://emilyriehl.github.io/files/context.pdf#page=160
Q522216,abelianization,https://emilyriehl.github.io/files/context.pdf#page=161
Q595298,sheaf,https://emilyriehl.github.io/files/context.pdf#page=161
Q5572389,sheafification,https://emilyriehl.github.io/files/context.pdf#page=161
Q17099363,nerve of a category,https://emilyriehl.github.io/files/context.pdf#page=162
Q357858,adjoint functor theorem,https://emilyriehl.github.io/files/context.pdf#page=164
Q1751685,solution set,https://emilyriehl.github.io/files/context.pdf#page=165
Q17141489,intersection,https://emilyriehl.github.io/files/context.pdf#page=168
Q4672496,locally presentable category,https://emilyriehl.github.io/files/context.pdf#page=170
Q4672496,accessible functor,https://emilyriehl.github.io/files/context.pdf#page=170
Q1193137,regular cardinal,https://emilyriehl.github.io/files/context.pdf#page=170
Q1630568,comonad,https://emilyriehl.github.io/files/context.pdf#page=173
Q1630568,monad,https://emilyriehl.github.io/files/context.pdf#page=174
Q1945014,monoidal category,https://emilyriehl.github.io/files/context.pdf#page=174
Q34010,Haskell,https://emilyriehl.github.io/files/context.pdf#page=174
Q1579914,maybe monad,https://emilyriehl.github.io/files/context.pdf#page=175
Q27948,list monad,https://emilyriehl.github.io/files/context.pdf#page=176
Q106671513,ultrafilter monad,https://emilyriehl.github.io/files/context.pdf#page=176
Q106671513,ultrafilter,https://emilyriehl.github.io/files/context.pdf#page=176
Q355020,probability measure,https://emilyriehl.github.io/files/context.pdf#page=177
Q127915480,Giry monad,https://emilyriehl.github.io/files/context.pdf#page=177
Q3058218,measurable space,https://emilyriehl.github.io/files/context.pdf#page=177
Q516776,measurable function,https://emilyriehl.github.io/files/context.pdf#page=177
Q10564851,closure operator,https://emilyriehl.github.io/files/context.pdf#page=178
Q10564851,kernel operator,https://emilyriehl.github.io/files/context.pdf#page=178
Q4720939,closure,https://emilyriehl.github.io/files/context.pdf#page=178
Q862761,interior,https://emilyriehl.github.io/files/context.pdf#page=178
Q5051859,category of algebras,https://emilyriehl.github.io/files/context.pdf#page=180
Q1000660,algebra homomorphism,https://emilyriehl.github.io/files/context.pdf#page=180
Q1000660,homomorphism of algebras,https://emilyriehl.github.io/files/context.pdf#page=180
Q3054915,pointed set,https://emilyriehl.github.io/files/context.pdf#page=180
Q5500180,free algebra,https://emilyriehl.github.io/files/context.pdf#page=182
Q3062935,coalgebra,https://emilyriehl.github.io/files/context.pdf#page=182
Q1773982,Kleisli category,https://emilyriehl.github.io/files/context.pdf#page=183
Q6771323,Markov kernel,https://emilyriehl.github.io/files/context.pdf#page=183
Q176645,Markov chain,https://emilyriehl.github.io/files/context.pdf#page=183
Q1630568,monadic functor,https://emilyriehl.github.io/files/context.pdf#page=187
Q915906,group presentation,https://emilyriehl.github.io/files/context.pdf#page=189
Q5140810,split coequalizer,https://emilyriehl.github.io/files/context.pdf#page=190
Q2754968,lattice,https://emilyriehl.github.io/files/context.pdf#page=194
Q2143621,elementary topos,https://emilyriehl.github.io/files/context.pdf#page=197
Q1630568,triple,https://emilyriehl.github.io/files/context.pdf#page=197
Q6505076,Lawvere theory,https://emilyriehl.github.io/files/context.pdf#page=200
Q23808682,conservative functor,https://emilyriehl.github.io/files/context.pdf#page=200
Q1454165,free product,https://emilyriehl.github.io/files/context.pdf#page=203
Q1723418,Kan extension,https://emilyriehl.github.io/files/context.pdf#page=210
Q3427423,induced representation,https://emilyriehl.github.io/files/context.pdf#page=212
Q1137726,directed graph,https://emilyriehl.github.io/files/context.pdf#page=219
Q20878207,weak equivalence,https://emilyriehl.github.io/files/context.pdf#page=225
Q14775269,homotopy category,https://emilyriehl.github.io/files/context.pdf#page=225
Q25036778,chain homotopy equivalence,https://emilyriehl.github.io/files/context.pdf#page=226
Q3413378,quasi-isomorphism,https://emilyriehl.github.io/files/context.pdf#page=226
Q746083,homotopy equivalence,https://emilyriehl.github.io/files/context.pdf#page=226
Q20878207,weak homotopy equivalence,https://emilyriehl.github.io/files/context.pdf#page=226
Q320245,total derived functor,https://emilyriehl.github.io/files/context.pdf#page=226
Q320245,derived functor,https://emilyriehl.github.io/files/context.pdf#page=226
Q5251702,deformation,https://emilyriehl.github.io/files/context.pdf#page=227
Q48996306,density theorem,https://emilyriehl.github.io/files/context.pdf#page=232
Q97359844,codensity monad,https://emilyriehl.github.io/files/context.pdf#page=234
Q115221345,geometric realization,https://emilyriehl.github.io/files/context.pdf#page=235
Q5141339,coherence,https://emilyriehl.github.io/files/context.pdf#page=239
Q17103860,symmetric monoidal category,https://emilyriehl.github.io/files/context.pdf#page=239
Q1945014,unit object,https://emilyriehl.github.io/files/context.pdf#page=239
Q1987578,unit interval,https://emilyriehl.github.io/files/context.pdf#page=240
Q2143621,Grothendieck topos,https://emilyriehl.github.io/files/context.pdf#page=242
Q5379515,enriched category,https://emilyriehl.github.io/files/context.pdf#page=243
Q860530,image,https://emilyriehl.github.io/files/context.pdf#page=243
Q381725,exact functor,https://emilyriehl.github.io/files/context.pdf#page=243
