parent_qid,parent_label,child_qid,child_label,relation,confidence,source_url,target_url,context,model,cache_hit
Q10260753,Q10260753,Q164307,BinaryOperation,has_part,0.900,https://mathgloss.github.io/MathGloss/chicago/topological_field,https://mathgloss.github.io/MathGloss/chicago/binary_operation,field $F$ that is a topological ring and also whose inverse maps $F\times F^\times\to F$ for both binary operations are also continuous.,deepseek-v3.1:671b-cloud,yes
Q10260753,Q10260753,Q170058,Continuity property,has_property,0.800,https://mathgloss.github.io/MathGloss/chicago/topological_field,https://mathgloss.github.io/MathGloss/chicago/continuous,](https://mathgloss.github.io/MathGloss/chicago/topological_ring) and also whose inverse maps $F\times F^\times\to F$ for both binary operations are also continuous.,deepseek-v3.1:671b-cloud,yes
Q1046291,Topological group,Q179899,Topological space,subclass_of,0.950,https://mathgloss.github.io/MathGloss/chicago/topological_group,https://mathgloss.github.io/MathGloss/chicago/topological_space,A topological group is a topological space $G$ that is also a group such that the binary operation on the [group](https://mathgloss.github.io,deepseek-v3.1:671b-cloud,yes
Q1046291,Topological group,Q83478,GrouP,subclass_of,0.950,https://mathgloss.github.io/MathGloss/chicago/topological_group,https://mathgloss.github.io/MathGloss/chicago/group,"athGloss/chicago/topological_space) $G$ that is also a group such that the binary operation on the group and the inverse map are both continuous. That is, the two maps $$\cdot:G\times G\to G \text{ given by } (x,y)\mapsto xy$$$$\text{inv}:G\to G \text{ given by }",deepseek-v3.1:671b-cloud,yes
Q1046291,Topological group,Q164307,BinaryOperation,has_part,0.900,https://mathgloss.github.io/MathGloss/chicago/topological_group,https://mathgloss.github.io/MathGloss/chicago/binary_operation,"A topological group is a topological space $G$ that is also a group such that the binary operation on the group and the inverse map are both continuous. That is, the two maps $$\cdot:G\times G\to G \text",deepseek-v3.1:671b-cloud,yes
Q1046291,Topological group,Q83478,GrouP,subclass_of,0.950,https://mathgloss.github.io/MathGloss/chicago/topological_group,https://mathgloss.github.io/MathGloss/chicago/group,"athGloss/chicago/topological_space) $G$ that is also a group such that the binary operation on the group and the inverse map are both continuous. That is, the two maps $$\cdot:G\times G\to G \text{ given by } (x,y)\mapsto xy$$$$\text{inv}:G\to G \text{ given by }",deepseek-v3.1:671b-cloud,yes
Q1046291,Topological group,Q170058,Continuity property,has_property,0.850,https://mathgloss.github.io/MathGloss/chicago/topological_group,https://mathgloss.github.io/MathGloss/chicago/continuous,"th continuous. That is, the two maps $$\cdot:G\times G\to G \text{ given by } (x,y)\mapsto xy$$$$\text{inv}:G\to G \text{ given by } x\mapsto x^{-1}$$ are both continuous where $G\times G$ is given the product topology.",deepseek-v3.1:671b-cloud,yes
Q1046291,Topological group,Q170058,Continuity property,has_property,0.850,https://mathgloss.github.io/MathGloss/chicago/topological_group,https://mathgloss.github.io/MathGloss/chicago/continuous,"th continuous. That is, the two maps $$\cdot:G\times G\to G \text{ given by } (x,y)\mapsto xy$$$$\text{inv}:G\to G \text{ given by } x\mapsto x^{-1}$$ are both continuous where $G\times G$ is given the product topology.",deepseek-v3.1:671b-cloud,yes
Q1046291,Topological group,,product_topology,has_part,0.850,https://mathgloss.github.io/MathGloss/chicago/topological_group,https://mathgloss.github.io/MathGloss/chicago/product_topology,"ot:G\times G\to G \text{ given by } (x,y)\mapsto xy$$$$\text{inv}:G\to G \text{ given by } x\mapsto x^{-1}$$ are both continuous where $G\times G$ is given the product topology.",deepseek-v3.1:671b-cloud,yes
Q1047080,Differential form,,exterior_power_of_a_vector_space,has_part,0.870,https://mathgloss.github.io/MathGloss/chicago/differential_k-form,https://mathgloss.github.io/MathGloss/chicago/exterior_power_of_a_vector_space,Let $U\subset\mathbb R^n$ be an open set. A differential $k$-form on $U$ is a map to the $k$th exterior product of the dual space of $\mathbb R^n$: $$\phi:U\to\wedge^k((\mathbb R^n)^*).$$ A $0$-form is just a function. Wedging a $0$-form with something amounts to multip,deepseek-v3.1:671b-cloud,yes
Q1047080,Differential form,Q752487,Dual space,has_part,0.850,https://mathgloss.github.io/MathGloss/chicago/differential_k-form,https://mathgloss.github.io/MathGloss/chicago/dual_space,https://mathgloss.github.io/MathGloss/chicago/open) set. A differential $k$-form on $U$ is a map to the $k$th exterior product of the dual space of $\mathbb R^n$: $$\phi:U\to\wedge^k((\mathbb R^n)^*).$$ A $0$-form is just a function. Wedging a $0$-form with something amounts to multiplication by the function. Let $U\subset\mathbb R^n$ be an [open](https://math,deepseek-v3.1:671b-cloud,yes
Q1047080,Differential form,Q125977,VectorSpaces,subclass_of,0.850,https://mathgloss.github.io/MathGloss/chicago/differential_k-form,https://mathgloss.github.io/MathGloss/chicago/vector_space,tion. Wedging a $0$-form with something amounts to multiplication by the function. Let $U\subset\mathbb R^n$ be an open set. Then we write $\mathcal A^k(U)$ for the vector space of k-forms on $U$.,deepseek-v3.1:671b-cloud,yes
Q104752,Coprime integers,Q131752,Greatest common divisor,has_property,0.850,https://mathgloss.github.io/MathGloss/chicago/coprime,https://mathgloss.github.io/MathGloss/chicago/greatest_common_divisor,"Two elements of a commutative ring are coprime if their greatest common divisor is $1$. Specifically, if it is the additive identity element of the ring.",deepseek-v3.1:671b-cloud,yes
Q1049914,Matrix multiplication,Q164307,BinaryOperation,instance_of,0.900,https://mathgloss.github.io/MathGloss/chicago/matrix_multiplication,https://mathgloss.github.io/MathGloss/chicago/binary_operation,"$(a_{ij})$ and $(b_{k\ell})$ respectively, the product $C=AB$ is the $m\times p$ matrix whose entries are given by $$c_{ij} = \sum_{k=1}^n a_{ik}b_{kj}$$ for $1 \leq i \leq m$ and $1 \leq j \leq m$. Note that this binary operation is not commutative, and $BA$ may not even be defined even though $AB$ is due to differing dimensions.",deepseek-v3.1:671b-cloud,yes
Q1049914,Matrix multiplication,Q165474,Commutative,has_property,0.950,https://mathgloss.github.io/MathGloss/chicago/matrix_multiplication,https://mathgloss.github.io/MathGloss/chicago/commutative,"x whose entries are given by $$c_{ij} = \sum_{k=1}^n a_{ik}b_{kj}$$ for $1 \leq i \leq m$ and $1 \leq j \leq m$. Note that this binary operation is not commutative, and $BA$ may not even be defined even though $AB$ is due to differing dimensions.",deepseek-v3.1:671b-cloud,yes
Q1052034,Q1052034,,Hermitian,has_property,0.950,https://mathgloss.github.io/MathGloss/chicago/positive_definite,https://mathgloss.github.io/MathGloss/chicago/Hermitian,"An $n\times n$ Hermitian complex matrix $M$ is positive definite if $\langle x, Mx\rangle > 0$ for all $x\neq 0$ in $\mathbb C^n$ where $\langle\cdot,\cdot\rangle$ is the standard [inn",deepseek-v3.1:671b-cloud,yes
Q1052034,Q1052034,Q44337,Matrix (Mathematics),instance_of,0.950,https://mathgloss.github.io/MathGloss/chicago/positive_definite,https://mathgloss.github.io/MathGloss/chicago/matrix,"An $n\times n$ Hermitian complex matrix $M$ is positive definite if $\langle x, Mx\rangle > 0$ for all $x\neq 0$ in $\mathbb C^n$ where $\langle\cdot,\cdot\rangle$ is the standard [inner product](https://mathgloss.github.io/MathGloss/chicago/inner_product",deepseek-v3.1:671b-cloud,yes
Q1052034,Q1052034,Q23924662,Q23924662,has_property,0.900,https://mathgloss.github.io/MathGloss/chicago/positive_definite,https://mathgloss.github.io/MathGloss/chicago/inner_product,"ian) complex matrix $M$ is positive definite if $\langle x, Mx\rangle > 0$ for all $x\neq 0$ in $\mathbb C^n$ where $\langle\cdot,\cdot\rangle$ is the standard inner product on $\mathbb C^n$ If we allow the dot product to be zero, then $M$ is postive semidefinite.",deepseek-v3.1:671b-cloud,yes
Q1052579,Unique factorization domain,Q628792,Integral domain,subclass_of,0.950,https://mathgloss.github.io/MathGloss/chicago/unique_factorization_domain,https://mathgloss.github.io/MathGloss/chicago/integral_domain,"An integral domain $R$ is a unique factorization domain if 1. Every nonzero, non-unit $r\in R$ can be written as a product of [irreducibles](https://mathgloss.github.io/M",deepseek-v3.1:671b-cloud,yes
Q1052579,Unique factorization domain,Q2989575,Irreducible element,has_part,0.850,https://mathgloss.github.io/MathGloss/chicago/unique_factorization_domain,https://mathgloss.github.io/MathGloss/chicago/irreducible_element_of_an_integral_domain,"1\leq i\leq n$. In particular, for every association class of irreducibles, we can choose a representative, and let $P$ be the collection of such representatives so that every $r\in R$ can be written uniquely as $$r= u\prod_{p\in P} p^{e_p}$$ for $u$ a [unit](https://mathgloss.github.io/MathGl",deepseek-v3.1:671b-cloud,yes
Q1052579,Unique factorization domain,Q2989575,Irreducible element,has_part,0.850,https://mathgloss.github.io/MathGloss/chicago/unique_factorization_domain,https://mathgloss.github.io/MathGloss/chicago/irreducible_element_of_an_integral_domain,"1\leq i\leq n$. In particular, for every association class of irreducibles, we can choose a representative, and let $P$ be the collection of such representatives so that every $r\in R$ can be written uniquely as $$r= u\prod_{p\in P} p^{e_p}$$ for $u$ a [unit](https://mathgloss.github.io/MathGl",deepseek-v3.1:671b-cloud,yes
Q1052579,Unique factorization domain,Q2989575,Irreducible element,has_part,0.850,https://mathgloss.github.io/MathGloss/chicago/unique_factorization_domain,https://mathgloss.github.io/MathGloss/chicago/irreducible_element_of_an_integral_domain,"1\leq i\leq n$. In particular, for every association class of irreducibles, we can choose a representative, and let $P$ be the collection of such representatives so that every $r\in R$ can be written uniquely as $$r= u\prod_{p\in P} p^{e_p}$$ for $u$ a [unit](https://mathgloss.github.io/MathGl",deepseek-v3.1:671b-cloud,yes
Q105356493,Circle group,Q83478,GrouP,subclass_of,0.950,https://mathgloss.github.io/MathGloss/chicago/circle_group,https://mathgloss.github.io/MathGloss/chicago/group,"circle group**, usually denoted $\mathbb T$, is the complex $1$-torus. Equivalently, it is the multiplicative group of complex numbers with complex absolute value $1$.",deepseek-v3.1:671b-cloud,yes
Q105356493,Circle group,,torus,instance_of,0.930,https://mathgloss.github.io/MathGloss/chicago/circle_group,https://mathgloss.github.io/MathGloss/chicago/torus,"The circle group, usually denoted $\mathbb T$, is the complex $1$-torus. Equivalently, it is the multiplicative group of complex numbers with [complex absolute value](http",deepseek-v3.1:671b-cloud,yes
Q105356493,Circle group,Q83478,GrouP,subclass_of,0.950,https://mathgloss.github.io/MathGloss/chicago/circle_group,https://mathgloss.github.io/MathGloss/chicago/group,"circle group**, usually denoted $\mathbb T$, is the complex $1$-torus. Equivalently, it is the multiplicative group of complex numbers with complex absolute value $1$.",deepseek-v3.1:671b-cloud,yes
Q105356493,Circle group,,complex_numbers,has_part,0.850,https://mathgloss.github.io/MathGloss/chicago/circle_group,https://mathgloss.github.io/MathGloss/chicago/complex_numbers,"up)**, usually denoted $\mathbb T$, is the complex $1$-torus. Equivalently, it is the multiplicative group of complex numbers with complex absolute value $1$.",deepseek-v3.1:671b-cloud,yes
Q105356493,Circle group,,complex_absolute_value,has_part,0.850,https://mathgloss.github.io/MathGloss/chicago/circle_group,https://mathgloss.github.io/MathGloss/chicago/complex_absolute_value,"b.io/MathGloss/chicago/torus). Equivalently, it is the multiplicative group of complex numbers with complex absolute value $1$.",deepseek-v3.1:671b-cloud,yes
Q1055807,Group representation,Q929302,Linear algebra/Dimension of a vector space,has_part,0.850,https://mathgloss.github.io/MathGloss/chicago/group_representation,https://mathgloss.github.io/MathGloss/chicago/dimension_of_vector_space,representation* of a group $G$ is a group homomorphism $\rho: G \to GL(V)$ from $G$ to the $n$-dimensional general linear group of invertible linear transformations of $V$.,deepseek-v3.1:671b-cloud,yes
Q1055807,Group representation,Q125977,VectorSpaces,has_part,0.900,https://mathgloss.github.io/MathGloss/chicago/group_representation,https://mathgloss.github.io/MathGloss/chicago/vector_space,Let $V$ be an $n$-dimensional vector space. A representation of a group $G$ is a group homomorphism $\rho: G \to GL(V)$ from $G$ to the,deepseek-v3.1:671b-cloud,yes
Q1055807,Group representation,,group_homomorphism,has_part,0.850,https://mathgloss.github.io/MathGloss/chicago/group_representation,https://mathgloss.github.io/MathGloss/chicago/group_homomorphism,io/MathGloss/chicago/dimension_of_vector_space) vector space. A representation of a group $G$ is a group homomorphism $\rho: G \to GL(V)$ from $G$ to the $n$-dimensional general linear group o,deepseek-v3.1:671b-cloud,yes
Q1055807,Group representation,Q929302,Linear algebra/Dimension of a vector space,has_part,0.850,https://mathgloss.github.io/MathGloss/chicago/group_representation,https://mathgloss.github.io/MathGloss/chicago/dimension_of_vector_space,representation* of a group $G$ is a group homomorphism $\rho: G \to GL(V)$ from $G$ to the $n$-dimensional general linear group of invertible linear transformations of $V$.,deepseek-v3.1:671b-cloud,yes
Q1055807,Group representation,Q524607,General linear group,has_part,0.850,https://mathgloss.github.io/MathGloss/chicago/group_representation,https://mathgloss.github.io/MathGloss/chicago/general_linear_group,is a group homomorphism $\rho: G \to GL(V)$ from $G$ to the $n$-dimensional general linear group of invertible linear transformations of $V$.,deepseek-v3.1:671b-cloud,yes
Q1055807,Group representation,Q207643,Linear map,has_part,0.850,https://mathgloss.github.io/MathGloss/chicago/group_representation,https://mathgloss.github.io/MathGloss/chicago/linear_transformation,\rho: G \to GL(V)$ from $G$ to the $n$-dimensional general linear group of invertible linear transformations of $V$.,deepseek-v3.1:671b-cloud,yes
Q1058314,Diffeomorphism,Q180907,Bijection,subclass_of,0.950,https://mathgloss.github.io/MathGloss/chicago/diffeomorphism,https://mathgloss.github.io/MathGloss/chicago/bijective,"Let $U,V\subset\mathbb R^n$ be open. A class $C^k$ diffeomorphism is a bijective $C^k$ function $g:U\to V$ such that the inverse $g^{-1}$ is also of class $C^k$.",deepseek-v3.1:671b-cloud,yes
Q1080067,Q1080067,Q217357,Σ-algebra,instance_of,0.950,https://mathgloss.github.io/MathGloss/chicago/borel_σ-algebra,https://mathgloss.github.io/MathGloss/chicago/σ-algebra,The Borel σ-algebra on a topological space $X$ is the σ-algebra generated by the open sets in $X$.,deepseek-v3.1:671b-cloud,yes
Q1080067,Q1080067,,generate_a_σ-algebra,has_part,0.850,https://mathgloss.github.io/MathGloss/chicago/borel_σ-algebra,https://mathgloss.github.io/MathGloss/chicago/generate_a_σ-algebra,The Borel σ-algebra on a topological space $X$ is the σ-algebra generated by the open sets in $X$.,deepseek-v3.1:671b-cloud,yes
Q111783780,Q111783780,,linearly_independent,has_property,0.900,https://mathgloss.github.io/MathGloss/chicago/linearly_dependent,https://mathgloss.github.io/MathGloss/chicago/linearly_independent,Let $V$ be a vector space. A subset $W \subset V$ is linearly dependent if it is not linearly independent.,deepseek-v3.1:671b-cloud,yes
Q1135427,Sequentially compact,Q179899,Topological space,has_property,0.950,https://mathgloss.github.io/MathGloss/chicago/sequentially_compact,https://mathgloss.github.io/MathGloss/chicago/topological_space,A topological space $X$ is sequentially compact if every sequence in $X$ has a convergent subsequence.,deepseek-v3.1:671b-cloud,yes
Q1135427,Sequentially compact,,sequence_convergence,has_property,0.850,https://mathgloss.github.io/MathGloss/chicago/sequentially_compact,https://mathgloss.github.io/MathGloss/chicago/sequence_convergence,A topological space $X$ is sequentially compact if every sequence in $X$ has a convergent subsequence.,deepseek-v3.1:671b-cloud,yes
Q1136782,Repesentation of a Lie algebra,Q17521172,Q17521172,has_part,0.850,https://mathgloss.github.io/MathGloss/chicago/lie_algebra_representation,https://mathgloss.github.io/MathGloss/chicago/general_linear_algebra,A representation $\phi$ of a Lie algebra $L$ is a homomorphism to the general linear algebra ($\phi:L \to \mathfrak{gl}(V)$) where $V$ is a vector space. Here we require the [dimension](https://mathgloss.github.io/MathGloss/chicago/dimension_of_vecto,deepseek-v3.1:671b-cloud,yes
Q1136782,Repesentation of a Lie algebra,Q125977,VectorSpaces,has_part,0.850,https://mathgloss.github.io/MathGloss/chicago/lie_algebra_representation,https://mathgloss.github.io/MathGloss/chicago/vector_space,"athfrak{gl}(V)$) where $V$ is a vector space. Here we require the dimension of the vector space underlying $L$ to be finite, but admit arbitrary dimension for $V$.",deepseek-v3.1:671b-cloud,yes
Q1136782,Repesentation of a Lie algebra,Q125977,VectorSpaces,has_part,0.850,https://mathgloss.github.io/MathGloss/chicago/lie_algebra_representation,https://mathgloss.github.io/MathGloss/chicago/vector_space,"athfrak{gl}(V)$) where $V$ is a vector space. Here we require the dimension of the vector space underlying $L$ to be finite, but admit arbitrary dimension for $V$.",deepseek-v3.1:671b-cloud,yes
Q1138961,Quotient group,Q83478,GrouP,subclass_of,0.850,https://mathgloss.github.io/MathGloss/chicago/quotient_by_subgroup,https://mathgloss.github.io/MathGloss/chicago/group,Let $G$ be a group with subgroup $H$. Then the quotient $G/H$ is the set of [classes](https://mathgloss,deepseek-v3.1:671b-cloud,yes
Q1138961,Quotient group,Q743179,Normal subgroup,has_part,0.850,https://mathgloss.github.io/MathGloss/chicago/quotient_by_subgroup,https://mathgloss.github.io/MathGloss/chicago/normal_subgroup,equivalence_class) of cosets $gH$ for $g\in G$. The quotient is itself a subgroup exactly when $H$ is normal in $G$. See the definition of the quotient when the subgroup is [normal](https://mat,deepseek-v3.1:671b-cloud,yes
Q1138961,Quotient group,,quotient_by_normal_subgroup,has_part,0.850,https://mathgloss.github.io/MathGloss/chicago/quotient_by_subgroup,https://mathgloss.github.io/MathGloss/chicago/quotient_by_normal_subgroup,. The quotient is itself a subgroup exactly when $H$ is normal in $G$. See the definition of the quotient when the subgroup is normal.,deepseek-v3.1:671b-cloud,yes
Q1139111,Quotient space (topology),Q179899,Topological space,subclass_of,0.850,https://mathgloss.github.io/MathGloss/chicago/quotient_of_topological_spaces,https://mathgloss.github.io/MathGloss/chicago/topological_space,_relation) $\sim$ given by $y\sim y'$ if $y$ and $y'\in Y$. Let $q: X\to X/Y$ be given by $x\mapsto x]$. This function is (well-defined and) [surjective. The topology on the quotient $X/Y$ is the collection of $U\subset X/Y$ such that the inverse image $q^{-1}(U)$ is [open](https://mathgloss.github.io/MathGloss/chicago/op,deepseek-v3.1:671b-cloud,yes
Q1139111,Quotient space (topology),Q130998,EquivalenceRelation,has_part,0.850,https://mathgloss.github.io/MathGloss/chicago/quotient_of_topological_spaces,https://mathgloss.github.io/MathGloss/chicago/equivalence_relation,logical_space) $X$ by a subspace $Y\subseteq X$ is the quotient by the equivalence relation $\sim$ given by $y\sim y'$ if $y$ and $y'\in Y$. Let $q: X\to X/Y$ be given by $x\mapsto x]$. This function is (well-defined and) [surjective. The [topology],deepseek-v3.1:671b-cloud,yes
Q1139111,Quotient space (topology),Q229102,Surjective function,has_part,0.850,https://mathgloss.github.io/MathGloss/chicago/quotient_of_topological_spaces,https://mathgloss.github.io/MathGloss/chicago/surjective,ivalence relation](https://mathgloss.github.io/MathGloss/chicago/equivalence_relation) $\sim$ given by $y\sim y'$ if $y$ and $y'\in Y$. Let $q: X\to X/Y$ be given by $x\mapsto x]$. This function is (well-defined and) [surjective. The topology on the quotient $X/Y$ is the collection of $U\subset X/Y$ such that the [inverse image](https://mathgloss.github.io/MathGloss/chicago/inve,deepseek-v3.1:671b-cloud,yes
Q1139111,Quotient space (topology),Q179899,Topological space,subclass_of,0.850,https://mathgloss.github.io/MathGloss/chicago/quotient_of_topological_spaces,https://mathgloss.github.io/MathGloss/chicago/topological_space,_relation) $\sim$ given by $y\sim y'$ if $y$ and $y'\in Y$. Let $q: X\to X/Y$ be given by $x\mapsto x]$. This function is (well-defined and) [surjective. The topology on the quotient $X/Y$ is the collection of $U\subset X/Y$ such that the inverse image $q^{-1}(U)$ is [open](https://mathgloss.github.io/MathGloss/chicago/op,deepseek-v3.1:671b-cloud,yes
Q1139111,Quotient space (topology),,inverse_image,has_part,0.850,https://mathgloss.github.io/MathGloss/chicago/quotient_of_topological_spaces,https://mathgloss.github.io/MathGloss/chicago/inverse_image,jective](https://mathgloss.github.io/MathGloss/chicago/surjective). The topology on the quotient $X/Y$ is the collection of $U\subset X/Y$ such that the inverse image $q^{-1}(U)$ is open in $X$.,deepseek-v3.1:671b-cloud,yes
Q1139111,Quotient space (topology),Q213363,Open set,has_part,0.850,https://mathgloss.github.io/MathGloss/chicago/quotient_of_topological_spaces,https://mathgloss.github.io/MathGloss/chicago/open,athgloss.github.io/MathGloss/chicago/topological_space) on the quotient $X/Y$ is the collection of $U\subset X/Y$ such that the inverse image $q^{-1}(U)$ is open in $X$.,deepseek-v3.1:671b-cloud,yes
Q1136782,Repesentation of a Lie algebra,,Lie_algebra,has_part,0.850,https://mathgloss.github.io/MathGloss/chicago/lie_algebra_representation,https://mathgloss.github.io/MathGloss/chicago/Lie_algebra,A representation $\phi$ of a Lie algebra $L$ is a homomorphism to the general linear algebra ($\phi:L \to \mathfra,deepseek-v3.1:671b-cloud,yes
Q1136782,Repesentation of a Lie algebra,,Lie_algebra_homomorphism,has_part,0.850,https://mathgloss.github.io/MathGloss/chicago/lie_algebra_representation,https://mathgloss.github.io/MathGloss/chicago/Lie_algebra_homomorphism,A representation $\phi$ of a Lie algebra $L$ is a homomorphism to the general linear algebra ($\phi:L \to \mathfrak{gl}(V)$) where $V$ is a [vector space](https://mathgloss.github.io/MathGloss/chicago/vector_sp,deepseek-v3.1:671b-cloud,yes
Q1142861,Direct sum of modules,Q18848,Module (algebra),subclass_of,0.900,https://mathgloss.github.io/MathGloss/chicago/direct_sum_of_modules,https://mathgloss.github.io/MathGloss/chicago/module_over_a_ring,"Let $R$ be a ring and $\{M_i\}_{i\in I}$ a family of left $R$-modules indexed by $I$. The direct sum of the $M_i$, written $$\bigoplus_{i\in I} M_i,$$ is the set of all sequences $\{a_i\}_{i\in I}$ where $a_i \in M_i$ and $a_i=0$ for ""cofinitely many"" indices. That is, $a_i \neq 0$ fo",deepseek-v3.1:671b-cloud,yes
Q1143969,Principal ideal domain,Q628792,Integral domain,subclass_of,0.950,https://mathgloss.github.io/MathGloss/chicago/principal_ideal_domain,https://mathgloss.github.io/MathGloss/chicago/integral_domain,An integral domain $R$ is a principal ideal domain if every ideal of $R$ is principal.,deepseek-v3.1:671b-cloud,yes
Q1143969,Principal ideal domain,Q44649,Ideal (ring theory),has_part,0.850,https://mathgloss.github.io/MathGloss/chicago/principal_ideal_domain,https://mathgloss.github.io/MathGloss/chicago/ring_ideal,An integral domain $R$ is a principal ideal domain if every ideal of $R$ is principal.,deepseek-v3.1:671b-cloud,yes
Q1143969,Principal ideal domain,Q44382,Principal ideal,has_part,0.850,https://mathgloss.github.io/MathGloss/chicago/principal_ideal_domain,https://mathgloss.github.io/MathGloss/chicago/principal_ideal,An integral domain $R$ is a principal ideal domain if every ideal of $R$ is principal.,deepseek-v3.1:671b-cloud,yes
Q11498021,Character tables,,character_of_a_representation,has_part,0.850,https://mathgloss.github.io/MathGloss/chicago/character_table,https://mathgloss.github.io/MathGloss/chicago/character_of_a_representation,representations](https://mathgloss.github.io/MathGloss/chicago/irreducible_representation) of $G$ on the different conjugacy classes of $G$. Recall that characters are class functions,deepseek-v3.1:671b-cloud,yes
Q118084,Unit (ring theory),,inverse_element,has_part,0.850,https://mathgloss.github.io/MathGloss/chicago/unit_of_a_ring,https://mathgloss.github.io/MathGloss/chicago/inverse_element,A unit of a ring $R$ is an element $r\in R$ that has a multiplicative inverse.,deepseek-v3.1:671b-cloud,yes
Q1194212,Ring homomorphism,Q161172,Ring (mathematics),subclass_of,0.950,https://mathgloss.github.io/MathGloss/chicago/ring_homomorphism,https://mathgloss.github.io/MathGloss/chicago/ring,"A ring homomorphism is a map $f:S\to R$ between rings $S$ and $R$ such that - $f:(S,+) \to (R,+)$ is a group homomorphism; - $f(s_1s_2)= f(s_1)f(s_2)$ for all $s_1,s_2\in S$; - $f(1) = 1$. A **ring [isom",deepseek-v3.1:671b-cloud,yes
