Wikidata ID,PlanetMath,PlanetMath link,Wikidata Label
Q4884794,Beltrami differential equation,http://planetmath.org/beltramidifferentialequation,Beltrami equation
Q3303275,Beltrami identity,http://planetmath.org/beltramiidentity,Beltrami identity
Q34969,Benjamin Franklin,http://planetmath.org/benjaminfranklin,Benjamin Franklin
Q101740,Benoît Mandelbrot,http://planetmath.org/benoitmandelbrot,Benoit B. Mandelbrot
Q821007,Berlekamp-Massey algorithm,http://planetmath.org/berlekampmasseyalgorithm,Berlekamp–Massey algorithm
Q42299,Bernhard Riemann,http://planetmath.org/bernhardriemann,Bernhard Riemann
Q3589398,Bernoulli equation,http://planetmath.org/bernoulliequation,Bernoulli equation
Q2346201,Bernoulli polynomial,http://planetmath.org/bernoullipolynomial,Bernoulli polynomials
Q831092,beth numbers,http://planetmath.org/bethnumbers,Beth two
Q7100712,betweenness relation,http://planetmath.org/betweennessrelation,Ordered geometry
Q24070598,biangle,http://planetmath.org/biangle,Spherical lune
Q742736,bias,http://planetmath.org/bias,Bias
Q204355,biconditional,http://planetmath.org/biconditional,Biconditional
Q1154357,bifurcation,http://planetmath.org/bifurcation,Bifurcation Theory
Q859808,biharmonic equation,http://planetmath.org/biharmonicequation,Biharmonic equation
Q377166,biholomorphically equivalent,http://planetmath.org/biholomorphicallyequivalent,Byholomorphy
Q1534522,binary Golay code,http://planetmath.org/binarygolaycode,Binary Golay code
Q332772,binary Gray code,http://planetmath.org/binarygraycode,Gray code
Q1065144,bipartite matching,http://planetmath.org/bipartitematching,Matching (graph theory)
Q11420049,biquadratic equation,http://planetmath.org/biquadraticequation,Quartic function
Q4915520,biquadratic field,http://planetmath.org/biquadraticfield,Biquadratic field
Q1243340,Birkhoff-von Neumann theorem,http://planetmath.org/birkhoffvonneumanntheorem,Doubly stochastic matrix
Q879126,bitwise AND,http://planetmath.org/bitwiseand,Binary and
Q879126,bitwise NOT,http://planetmath.org/bitwisenot,Binary and
Q879126,bitwise OR,http://planetmath.org/bitwiseor,Binary and
Q879126,bitwise XOR,http://planetmath.org/bitwisexor,Binary and
Q1142171,blackboard bold,http://planetmath.org/blackboardbold,Blackboard bold
Q1142171,blackboard bold,http://planetmath.org/blackboardbold,Blackboard bold
Q1338307,Black-Scholes formula,http://planetmath.org/blackscholesformula,Black–Scholes model
Q1338307,Black-Scholes PDE,http://planetmath.org/blackscholespde,Black–Scholes model
Q273037,Bondy and Chvátal theorem,http://planetmath.org/bondyandchvataltheorem,Hamiltonian cycle
Q27786609,Boolean,http://planetmath.org/boolean,Boolean
Q2634401,Boolean ring,http://planetmath.org/booleanring,Boolean ring
Q4943349,Boolean valued model,http://planetmath.org/booleanvaluedmodel,Boolean-valued model
Q4944923,Borel-Bott-Weil theorem,http://planetmath.org/borelbottweiltheorem,Borel–Weil–Bott theorem
Q829645,Borel functional calculus,http://planetmath.org/borelfunctionalcalculus,Borel functional calculus
Q4944909,Borel isomorphism,http://planetmath.org/borelisomorphism,Borel isomorphism
Q310647,bounded,http://planetmath.org/bounded,Club set
Q310647,bounded,http://planetmath.org/bounded1,Club set
Q752375,boundedness theorem,http://planetmath.org/boundednesstheorem,Extreme value theorem
Q190529,"Bourbaki, Nicolas",http://planetmath.org/bourbakinicolas,Nicolas Bourbaki
Q1196038,Brandt groupoid,http://planetmath.org/brandtgroupoid,Groupoid
Q966582,Briggsian logarithms,http://planetmath.org/briggsianlogarithms,Common logarithm
Q306564,Brouwer degree,http://planetmath.org/brouwerdegree,Degree of a continuous mapping
Q18345290,Brouwerian lattice,http://planetmath.org/brouwerianlattice,Pseudocomplement
Q1010269,Burali-Forti paradox,http://planetmath.org/buralifortiparadox,Burali-Forti paradox
Q1996305,Burnside p-q theorem,http://planetmath.org/burnsidepqtheorem,Burnside's theorem
Q5000649,bursting,http://planetmath.org/bursting,Bursting
Q829653,BV function,http://planetmath.org/bvfunction,Bounded variation
Q5026435,Cameron-Martin space,http://planetmath.org/cameronmartinspace,Cameron–Martin theorem
Q628792,cancellation ring,http://planetmath.org/cancellationring,Integral domain
Q19596244,canonical,http://planetmath.org/canonical,Canonical mapping
Q19596244,canonical,http://planetmath.org/canonical,Canonical mapping
Q115542,canonical correlation,http://planetmath.org/canonicalcorrelation,Canonical correlation
Q2251151,canonical model,http://planetmath.org/canonicalmodel,Canonical ring
Q1211071,canonical projection,http://planetmath.org/canonicalprojection,Equivalence class
Q5961083,canonical quantization,http://planetmath.org/canonicalquantization,Canonical quantization
Q322340,Cantor-Bendixson derivative,http://planetmath.org/cantorbendixsonderivative,Derived set (mathematics)
Q163875,cardinal arithmetic,http://planetmath.org/cardinalarithmetic,Cardinal numbers
Q76564,Carl Gustav Jacob Jacobi,http://planetmath.org/carlgustavjacobjacobi,Carl Gustav Jacob Jacobi
Q761544,Carl Pomerance,http://planetmath.org/carlpomerance,Carl Pomerance
Q858532,Carl Størmer,http://planetmath.org/carlstormer,Carl Størmer
Q545558,Carol Karp,http://planetmath.org/carolkarp,Carol Karp
Q5047043,Cartan theorem A,http://planetmath.org/cartantheorema,Cartan's theorems A and B
Q62912,Cartesian coordinates,http://planetmath.org/cartesiancoordinates,Cartesian coordinates
Q1047475,Casimir operator,http://planetmath.org/casimiroperator,Casimir element
Q5050952,casus irreducibilis,http://planetmath.org/casusirreducibilis,Irreducible Case
Q3492725,catacaustic,http://planetmath.org/catacaustic,Caustic (mathematics)
Q270513,Catalan numbers,http://planetmath.org/catalannumbers,Catalan number
Q17029637,categorical algebra,http://planetmath.org/categoricalalgebra,Higher-dimensional algebra
Q1196038,category of groupoids,http://planetmath.org/categoryofgroupoids,Groupoid
Q450331,Cathleen Morawetz,http://planetmath.org/cathleenmorawetz,Cathleen Synge Morawetz
Q1614464,Cauchy-Kowalewski theorem,http://planetmath.org/cauchykowalewskitheorem,Cauchy-Kovalevsky theorem
Q769374,Cauchy principal part integral,http://planetmath.org/cauchyprincipalpartintegral,Cauchy principal value
Q3139849,cellular homology,http://planetmath.org/cellularhomology,Cellular homology
Q1195852,center of a group,http://planetmath.org/centerofagroup,Center (group theory)
Q30603786,center (rings),http://planetmath.org/centerrings,Center of an algebra
Q2243424,central idempotent,http://planetmath.org/centralidempotent,Idempotent (ring theory)
Q5062139,central product of groups,http://planetmath.org/centralproductofgroups,Central product
Q2945123,centre of mass,http://planetmath.org/centreofmass,Center of mass
Q2082317,Cesàro summability,http://planetmath.org/cesarosummability,Cesàro mean
Q5176824,chain condition,http://planetmath.org/chaincondition,Countable chain condition
Q207455,chain rule (several variables),http://planetmath.org/chainruleseveralvariables,Chain rule
Q166314,chaotic dynamical system,http://planetmath.org/chaoticdynamicalsystem,Chaos theory
Q5073495,Chapter I,http://planetmath.org/chapteri,Chapter One
Q3666274,Chapter II,http://planetmath.org/chapterii,Chapter 2
Q2937829,characterisation,http://planetmath.org/characterisation,Characterization (mathematics)
Q2937829,characterisation,http://planetmath.org/characterisation,Characterization (mathematics)
Q747027,characteristic subgroup,http://planetmath.org/characteristicsubgroup,Characteristic subgroup
Q284129,Charles Fefferman,http://planetmath.org/charlesfefferman,Charles Fefferman
Q187520,Charles Sanders Peirce,http://planetmath.org/charlessanderspeirce,Charles Sanders Peirce
Q1068479,Chauvenet Prize,http://planetmath.org/chauvenetprize,Chauvenet Prize
Q1046711,Chebyshev functions,http://planetmath.org/chebyshevfunctions,Mangoldt summatory function
Q715284,Chen Jingrun,http://planetmath.org/chenjingrun,Chen Jingrun
Q1070533,Cheryl Praeger,http://planetmath.org/cherylpraeger,Cheryl Praeger
Q2067937,child node (of a tree),http://planetmath.org/childnodeofatree,Hierarchical tree structure
Q243462,chi-squared random variable,http://planetmath.org/chisquaredrandomvariable,Chi-squared distribution
Q1071004,chi-squared statistic,http://planetmath.org/chisquaredstatistic,Chi-squared test
Q1322892,chordal,http://planetmath.org/chordal,Chordal graph
Q441382,Christine Ladd-Franklin,http://planetmath.org/christineladdfranklin,Christine Ladd-Franklin
Q5111650,Christoffel-Darboux formula,http://planetmath.org/christoffeldarbouxformula,Christoffel–Darboux formula
Q847816,Christoffel symbols,http://planetmath.org/christoffelsymbols,Christoffel symbol
Q1089708,Church integer,http://planetmath.org/churchinteger,Church numeral
Q1140902,Church-Rosser property,http://planetmath.org/churchrosserproperty,Confluence (abstract rewriting)
Q2166240,circle of curvature,http://planetmath.org/circleofcurvature,Kissing circles
Q245457,circulant matrix,http://planetmath.org/circulantmatrix,Circulant
Q6011160,circular reasoning,http://planetmath.org/circularreasoning,Circular argument
Q110176,circumcircle,http://planetmath.org/circumcircle,Circumcenter
Q120096770,circumscribe,http://planetmath.org/circumscribe,Circumscribed circle
Q573509,city-block metric,http://planetmath.org/cityblockmetric,Manhattan distance
Q5126927,Claribel Kendall,http://planetmath.org/claribelkendall,Claribel Kendall
Q5127621,Clarkson inequality,http://planetmath.org/clarksoninequality,Clarkson's inequalities
Q1353233,class equation,http://planetmath.org/classequation,Conjugacy class
Q2285809,classical groups,http://planetmath.org/classicalgroups,Classical groups
Q986499,classical ring of quotients,http://planetmath.org/classicalringofquotients,Ore condition
Q11567,classification of complex numbers,http://planetmath.org/classificationofcomplexnumbers,Complex numbers
Q1136782,classification of finite-dimensional representations of semi-simple Lie algebras,http://planetmath.org/classificationoffinitedimensionalrepresentationsofsemisimpleliealgebras,Repesentation of a Lie algebra
Q2793600,class numbers of imaginary quadratic fields,http://planetmath.org/classnumbersofimaginaryquadraticfields,Stark–Heegner theorem
Q187588,class structure,http://planetmath.org/classstructure,Social class
Q320369,clopen subset,http://planetmath.org/clopensubset,Clopen set
Q2100733,closed (differential form),http://planetmath.org/closeddifferentialform,Exact form
Q147978,closed point,http://planetmath.org/closedpoint,Zariski topology
Q10564851,closure space,http://planetmath.org/closurespace,Closure operator
Q182949,club,http://planetmath.org/club,Club
Q1788166,♣,http://planetmath.org/clubsuit,Clubs (suit)
Q1776598,cluster sampling,http://planetmath.org/clustersampling,ClusterSampling
Q407816,CNF,http://planetmath.org/cnf,CNF
Q5137654,coadjoint orbit,http://planetmath.org/coadjointorbit,Coadjoint representation
Q906456,coarser,http://planetmath.org/coarser,Comparison of topologies
Q1622692,codifferential,http://planetmath.org/codifferential,Hodge star operator
Q425432,coefficients of Laurent series,http://planetmath.org/coefficientsoflaurentseries,Laurent series
Q2044612,cofactor expansion,http://planetmath.org/cofactorexpansion,Determinant expansion
Q1048949,cofibration,http://planetmath.org/cofibration,Cofibration
Q147638,cognitive science,http://planetmath.org/cognitivescience,Cognitive science
Q2893695,Cohen-Macaulay module,http://planetmath.org/cohenmacaulaymodule,Cohen–Macaulay ring
Q6543809,cohomology of semi-simple Lie algebras,http://planetmath.org/cohomologyofsemisimpleliealgebras,Lie algebra cohomology
Q288465,coinvariant,http://planetmath.org/coinvariant,Group action
Q837314,Collatz problem,http://planetmath.org/collatzproblem,Collatz conjecture
Q1419761,collinear,http://planetmath.org/collinear,Collinear
Q504843,coloring,http://planetmath.org/coloring,Colouring algorithm
Q504843,colouring problem,http://planetmath.org/colouringproblem,Colouring algorithm
Q44649,comaximal ideals,http://planetmath.org/comaximalideals,Ideal (ring theory)
Q1481571,combinatory logic,http://planetmath.org/combinatorylogic,Combinator
Q165474,commutative,http://planetmath.org/commutative,Commutative
Q2989763,commutator bracket,http://planetmath.org/commutatorbracket,Commutator
Q381892,compact,http://planetmath.org/compact,Compact space
Q5155306,compact element,http://planetmath.org/compactelement,Compact element
Q1142861,complementary subspace,http://planetmath.org/complementarysubspace,Direct sum of modules
Q5156529,complete distributivity,http://planetmath.org/completedistributivity,Completely distributive lattice
Q574010,complete information,http://planetmath.org/completeinformation,Complete information
Q1071795,completely normal,http://planetmath.org/completelynormal,Normal space
Q106323967,completely reducible,http://planetmath.org/completelyreducible,Semisimple
Q7574800,completely simple semigroup,http://planetmath.org/completelysimplesemigroup,Commutative semigroup
Q50704,completing the square,http://planetmath.org/completingthesquare,Completing the square
Q50704,completing the square,http://planetmath.org/completingthesquare,Completing the square
Q527101,completion of a measure space,http://planetmath.org/completionofameasurespace,Complete measure
Q578874,complex analytic manifold,http://planetmath.org/complexanalyticmanifold,Complex manifold
Q168698,complex exponential function,http://planetmath.org/complexexponentialfunction,Exponential function
Q445569,complexification,http://planetmath.org/complexification,Complexification
Q445569,complexification of vector space,http://planetmath.org/complexificationofvectorspace,Complexification
Q13647261,complex sine and cosine,http://planetmath.org/complexsineandcosine,Cosine
Q1796658,composite field,http://planetmath.org/compositefield,Composite field (mathematics)
Q833293,composite trapezoidal rule,http://planetmath.org/compositetrapezoidalrule,Trapezoidal rule
Q1071077,Compositorial,http://planetmath.org/compositorial,Primorials
Q780487,comprehension axiom,http://planetmath.org/comprehensionaxiom,Axiom schema of specification
Q5157322,computationally indistinguishable,http://planetmath.org/computationallyindistinguishable,Computational indistinguishability
Q110427073,computer representation of integers,http://planetmath.org/computerrepresentationofintegers,Computer number format
Q1437394,concept lattice,http://planetmath.org/conceptlattice,Concept lattice
Q2191117,concurrent,http://planetmath.org/concurrent,Concurrent lines
Q1783746,concyclic,http://planetmath.org/concyclic,Cyclic polygon
Q813908,conditional entropy,http://planetmath.org/conditionalentropy,Conditional entropy
Q336201,confocal,http://planetmath.org/confocal,Confocal
Q513175,conformally equivalent,http://planetmath.org/conformallyequivalent,Conformal geometry
Q850275,conformal mapping,http://planetmath.org/conformalmapping,Conformal map
Q850275,conformal mapping theorem,http://planetmath.org/conformalmappingtheorem,Conformal map
Q154210,congruence axioms,http://planetmath.org/congruenceaxioms,Congruence (geometry)
Q2589508,congruence lattice,http://planetmath.org/congruencelattice,Quotient (universal algebra)
Q3527230,congruence of Clausen and von Staudt,http://planetmath.org/congruenceofclausenandvonstaudt,Von Staudt–Clausen theorem
Q1191895,conjugate gradient algorithm,http://planetmath.org/conjugategradientalgorithm,Conjugate gradient method
Q5161158,conjugate points,http://planetmath.org/conjugatepoints,Conjugate point
Q2051983,conjugate transpose,http://planetmath.org/conjugatetranspose,Adjoint matrix
Q226931,conjunction,http://planetmath.org/conjunction,Conjunction
Q865967,connected im kleinen,http://planetmath.org/connectedimkleinen,Locally connected
Q1491995,connected set in a topological space,http://planetmath.org/connectedsetinatopologicalspace,Connected space
Q2370925,conormal bundle,http://planetmath.org/conormalbundle,Normal bundle
Q10564851,consequence operator,http://planetmath.org/consequenceoperator,Closure operator
Q1319773,consistent,http://planetmath.org/consistent,Consistency
Q1782585,consistent estimator,http://planetmath.org/consistentestimator,Consistent estimator
Q746264,constant functions and continuity,http://planetmath.org/constantfunctionsandcontinuity,Constant function
Q2995255,constructible,http://planetmath.org/constructible,Constructibility
Q1321926,constructible numbers,http://planetmath.org/constructiblenumbers,Constructible number
Q209675,construction of Dirac delta function,http://planetmath.org/constructionofdiracdeltafunction,Dirac delta function
Q5164778,contact point,http://planetmath.org/contactpoint,National Child Database
Q729271,context-free language,http://planetmath.org/contextfreelanguage,Context-free language
Q1430282,context-sensitive language,http://planetmath.org/contextsensitivelanguage,Context-sensitive language
Q1541178,contingency table,http://planetmath.org/contingencytable,Cross tabulation
Q5165409,continuous,http://planetmath.org/continuous,List of continuity-related mathematical topics
Q207522,continuous density function,http://planetmath.org/continuousdensityfunction,Probability density function
Q1767119,continuous functional calculus,http://planetmath.org/continuousfunctionalcalculus,Continuous functional calculus
Q5165479,continuous geometry,http://planetmath.org/continuousgeometry,Continuous geometry
Q1091024,continuous linear mapping,http://planetmath.org/continuouslinearmapping,Continuous linear map
Q5165503,continuous predicate,http://planetmath.org/continuouspredicate,Continuous predicate
Q170058,continuous relation,http://planetmath.org/continuousrelation,Continuity property
Q44649,contracted ideal,http://planetmath.org/contractedideal,Ideal (ring theory)
Q230689,contractible,http://planetmath.org/contractible,Contractible
Q363948,contradiction,http://planetmath.org/contradiction,Contradiction
Q363948,contradictory statement,http://planetmath.org/contradictorystatement,Contradiction
Q1077442,contrapositive,http://planetmath.org/contrapositive,Contrapositive
Q1331104,controllability,http://planetmath.org/controllability,Controllability
Q959968,control system,http://planetmath.org/controlsystem,Control system
Q1411887,converges uniformly,http://planetmath.org/convergesuniformly,Uniform convergence
Q4489310,Cook reduction,http://planetmath.org/cookreduction,Turing reduction
Q11210,coordinate systems,http://planetmath.org/coordinatesystems,Coordinates
Q104752,coprime,http://planetmath.org/coprime,Coprime integers
Q3010804,core of a subgroup,http://planetmath.org/coreofasubgroup,Core (group theory)
Q66707394,countable,http://planetmath.org/countable,Countably infinite
Q777879,countable basis,http://planetmath.org/countablebasis,Schauder basis
Q5139908,countable complement topology,http://planetmath.org/countablecomplementtopology,Cocountable topology
Q5177152,counting problem,http://planetmath.org/countingproblem,Counting problem
Q5178160,course-of-values recursion,http://planetmath.org/courseofvaluesrecursion,Course-of-values recursion
Q261527,covector,http://planetmath.org/covector,Linear form
Q583069,Crafoord Prize,http://planetmath.org/crafoordprize,Crafoord Prize
Q630168,crazy dice,http://planetmath.org/crazydice,Sicherman dice
Q187235,critical strip,http://planetmath.org/criticalstrip,Riemann zeta function
Q8045719,crosscap slide,http://planetmath.org/crosscapslide,Y-homeomorphism
Q36810,crossed quadrilateral,http://planetmath.org/crossedquadrilateral,Quadrilateral
Q24896206,crossing lemma,http://planetmath.org/crossinglemma,Crossing lemma
Q5014001,CR submanifold,http://planetmath.org/crsubmanifold,CR manifold
Q8789,cryptography,http://planetmath.org/cryptography,CryptologY
Q861555,cube of a number,http://planetmath.org/cubeofanumber,³
Q203565,cubic formula,http://planetmath.org/cubicformula,Cubic equation
Q532389,Cullen prime,http://planetmath.org/cullenprime,Cullen number
Q746007,cumulant generating function,http://planetmath.org/cumulantgeneratingfunction,Cumulant
Q386228,cumulative distribution function,http://planetmath.org/cumulativedistributionfunction,CumulativeDistributionFunction
Q214881,curvature (space curve),http://planetmath.org/curvaturespacecurve,Curvature
Q517269,curve of Agnesi,http://planetmath.org/curveofagnesi,Witch of Agnesi
Q2400580,cusp form,http://planetmath.org/cuspform,Cusp form
Q161519,cycle notation,http://planetmath.org/cyclenotation,Permutation
Q245464,cyclic code,http://planetmath.org/cycliccode,Cyclic code
Q17097842,cyclic decomposition theorem,http://planetmath.org/cyclicdecompositiontheorem,Cyclic subspace
Q692086,cyclic quadrilateral,http://planetmath.org/cyclicquadrilateral,Cyclic quadrilateral
Q6901592,cyclic semigroup,http://planetmath.org/cyclicsemigroup,Cyclic semigroup
Q674533,cyclometric functions,http://planetmath.org/cyclometricfunctions,Inverse trigonometric functions
Q318705,cyclotomic extension,http://planetmath.org/cyclotomicextension,Abelian extension
Q211851,cylindrical coordinates,http://planetmath.org/cylindricalcoordinates,Cylindrical coordinates
Q242949,Danica McKellar,http://planetmath.org/danicamckellar,Danica McKellar
Q3017847,David Eppstein,http://planetmath.org/davideppstein,David Eppstein
Q41585,David Hilbert,http://planetmath.org/davidhilbert,David Hilbert
Q1174788,David Huffman,http://planetmath.org/davidhuffman,David Huffman
Q3066095,de Bruijn digraph,http://planetmath.org/debruijndigraph,De Bruijn graph
